deckname,numlands,cmc_avg,0,1,2,3,4,5,6,7,8,9,10,11,12,13
UG_Draw,23,2.27027027027027,0,15.0,7.0,10.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UG_Greg,26,5.0,0,0.0,4.0,11.0,6.0,1.0,2.0,0.0,6.0,0.0,4.0,0.0,0.0,0.0
UR_Horrors,23,2.864864864864865,0,0.0,25.0,8.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0
UR_Machinegun,24,2.138888888888889,0,7.0,17.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UR_Spells,22,2.473684210526316,0,4.0,22.0,10.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
UR_Spells2,23,2.081081081081081,0,7.0,20.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UW_Thopters,22,2.1578947368421053,0,9.0,14.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WR_Tremors,24,2.3055555555555554,0,7.0,16.0,9.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BIG UR COUTERBURN,26,2.9705882352941178,0,8.0,11.0,4.0,2.0,7.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
Fires,24,2.8333333333333335,0,4.0,12.0,12.0,3.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fires2,23,2.4324324324324325,0,8.0,7.0,20.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FiresFRF,23,2.4864864864864864,0,8.0,8.0,16.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jeskai_Burn,24,2.2777777777777777,0,8.0,16.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jestkai_Tempo,25,3.5142857142857142,0,0.0,12.0,12.0,2.0,5.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
RDW_FRF,24,2.5277777777777777,0,10.0,6.0,11.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RG_Monsters,23,2.918918918918919,0,7.0,12.0,4.0,7.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Riddle_Narset,26,4.9411764705882355,0,0.0,0.0,17.0,1.0,2.0,7.0,1.0,4.0,0.0,0.0,2.0,0.0,0.0
Sultai Reanimator by Shahar Shenhar,23,3.5405405405405403,0,3.0,8.0,9.0,7.0,6.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
UG Flash,24,3.0277777777777777,0,6.0,6.0,16.0,0.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UR smash,24,2.5555555555555554,0,8.0,7.0,18.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
blue-devotion,24,2.2222222222222223,0,12.0,8.0,12.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
green_machine,24,3.1944444444444446,0,5.0,11.0,4.0,7.0,8.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
green_machine_GR,24,2.9722222222222223,0,7.0,9.0,4.0,10.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
monored devotion - brad nelson,25,3.0,0,3.0,10.0,10.0,8.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
obelisk tinker,24,3.5555555555555554,0,4.0,0.0,14.0,12.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sly_tinker,22,1.368421052631579,4,16.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sly_tinker2,21,1.5128205128205128,4,15.0,16.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sly_tinkerFRF,21,1.6153846153846154,4,11.0,20.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
timewalker,26,4.294117647058823,0,2.0,3.0,13.0,1.0,4.0,8.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0
tinker,24,2.5,4,2.0,20.0,0.0,6.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
esper-gift-pascal-maynard,23,2.810810810810811,4,6.0,7.0,8.0,4.0,6.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
5c-foretold,23,2.945945945945946,0,12.0,2.0,14.0,2.0,2.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
monoblack,21,1.8205128205128205,0,14.0,18.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ramunap-red,24,2.0555555555555554,0,12.0,14.0,6.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
riddleform-tempo,21,2.1538461538461537,0,15.0,12.0,8.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
ug-draw,24,3.1052631578947367,0,8.0,7.0,8.0,7.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ur-as-foretold,20,2.125,0,18.0,11.0,8.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
ur-control,25,3.1142857142857143,0,5.0,12.0,4.0,5.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ur-control2,24,3.1666666666666665,0,5.0,11.0,6.0,6.0,4.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
ur-locust-god,24,3.138888888888889,0,0.0,11.0,15.0,6.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ashiok Control,25,3.057142857142857,0,4.0,6.0,15.0,7.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aurelia,24,3.25,0,0.0,11.0,13.0,8.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BG_Graveyard,19,2.6097560975609757,0,8.0,20.0,4.0,4.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BR Beats,21,1.8974358974358974,0,8.0,27.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BW_Baron_Angel,25,3.4,0,4.0,0.0,19.0,4.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BW_Humans,22,2.263157894736842,0,8.0,12.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blood Bairn,18,2.0952380952380953,0,8.0,22.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blood Bairn2,18,2.1904761904761907,0,8.0,18.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CMC2,20,2.0,0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Deathrites,24,2.2777777777777777,0,8.0,14.0,10.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GODMODE_U,23,2.918918918918919,0,6.0,4.0,16.0,9.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GR_Land_Destruction,24,3.1666666666666665,0,4.0,12.0,4.0,11.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Godmode_G,22,3.0526315789473686,0,4.0,12.0,6.0,10.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Godmode_R,24,2.888888888888889,0,0.0,15.0,12.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Izzet Midrange,24,2.6944444444444446,0,4.0,15.0,8.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JOLLY GREEN 2,23,2.7027027027027026,0,8.0,12.0,8.0,5.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JOLLY GREEN 3,23,2.72972972972973,0,8.0,10.0,12.0,2.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JOLLY GREEN GIANT,23,3.1621621621621623,0,7.0,8.0,8.0,4.0,6.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MONOBLUE_TRIX,23,2.6486486486486487,0,4.0,15.0,8.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
